rm: cannot remove ‘/home/yangsi/.matlab/local_cluster_jobs/R2019b/Job5/Task7.common.mat’: Stale file handle
rm: cannot remove ‘/home/yangsi/.matlab/local_cluster_jobs/R2019b/Job2/Task2-13.in.mat’: Stale file handle
rm: cannot remove ‘/home/yangsi/.matlab/local_cluster_jobs/R2019b/Job2/Task13.out.mat’: Stale file handle
rm: cannot remove ‘/home/yangsi/.matlab/local_cluster_jobs/R2019b/Job2/Task4.out.mat’: Stale file handle
rm: cannot remove ‘/home/yangsi/.matlab/local_cluster_jobs/R2019b/Job2/Task12.common.mat’: Stale file handle
rm: cannot remove ‘/home/yangsi/.matlab/local_cluster_jobs/R2019b/Job2/Task8.out.mat’: Stale file handle

                            < M A T L A B (R) >
                  Copyright 1984-2019 The MathWorks, Inc.
              R2019b Update 3 (9.7.0.1261785) 64-bit (glnxa64)
                             November 27, 2019

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> 
OptCase =

    'Optimmay4'

>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 13).
>> >> >> >> >> >> >> bgc1d_iteration - cost : 0.036089
  n=22: (6,13)-CMA-ES(w=[38 25 17 11 7 3]%, mu_eff=4.0) on function bgc1d_fc2minimize_cmaes_parallel
bgc1d_iteration - cost : 0.036259
bgc1d_iteration - cost : 0.036079
bgc1d_iteration - cost : 0.03623
bgc1d_iteration - cost : 0.036054
bgc1d_iteration - cost : 0.026551
bgc1d_iteration - cost : 0.020967
bgc1d_iteration - cost : 0.036107
bgc1d_iteration - cost : 0.036073
bgc1d_iteration - cost : 0.036138
bgc1d_iteration - cost : 0.036225
bgc1d_iteration - cost : 0.035852
bgc1d_iteration - cost : 0.042219
bgc1d_iteration - cost : 0.088411
Iterat, #Fevals:   Function Value    (median,worst) |Axis Ratio|idx:Min SD idx:Max SD
